Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 3 ASA NORTE (VILA PLANALTO);0011355;RUA PIAU ACAMPAMENTO PACHECO FERNANDES;70804190;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;PLANO PILOTO
UBS 04 ITAPOA;4986792;DF 250, KM 08, FAZENDA VELHA - GALPAO DA ASSOCIACA;71573991;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;ITAPOA
UBS 8 - PADDF - PARANOA;0011630;COLONIA AGRICOLA BR 251 KM 07;71586000;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PARANOA
UBS 08 SAMAMBAIA;7114397;QS 314 CONJUNTO 05 LOTE 01;72308515;De Segunda a Sexta das 07:00 às 19:00;SIM;NÃO;SIM;SAMAMBAIA
UBS 2 T.R.E. - SAO SEBASTIAO;3254887;QUADRA 101, CONJ. 02, LOTE 01;71691101;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;NÃO;SAO SEBASTIAO
UBS 7 INCRA 08 BRAZLANDIA;0011509;QUADRA 15 LOTE 02 LOJA 01 INCRA 08;72720660;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;SIM;BRAZLANDIA
UBS 9 RESIDENCIAL DO BOSQUE 1 - SAO SEBASTIAO;3742873;RUA DA ESCOLA 540;71693168;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SAO SEBASTIAO
UBS 1 LAGO NORTE;0011177;SHIN QI 3;71505600;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;NÃO;LAGO NORTE
UBS 1 SOBRADINHO;0011223;QUADRA 14 AREA ESPECIAL 22/23;73050063;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOBRADINHO
UBS 1 SOBRADINHO II;0011258;AR 13 AREA ESPECIAL CONJUNTO 7 LOTE;73062307;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOBRADINHO II
UBS 5 - QUEBRADA DOS NERES;0011614;DF 130 KM 56 QUEBRADA DOS NERES - PARANOA;71570990;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PARANOA
UBS 13 SAO JOSE PLANALTINA;0011622;DF 250 NUCLEO RURAL SAO JOSE AREA ESPECIAL;73499899;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 2 CATINGUEIRO FERCAL;0011517;RODOVIA DF 205 OESTE KM 13 NUCLEO RURAL;73151010;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;FERCAL
UBS 3 NOVA COLINA SOBRADINHO;0011568;AREA ESPECIAL NOVO SETOR DE MANSOES NOVA COLINA;73017017;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOBRADINHO
UBS 1 JARDINS MANGUEIRAL;0736260;PRACA DE ATIVIDADES 02 - LOTE 01;71699195;De Segunda a Sexta das 07:00 às 18:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;JARDIM BOTANICO
UBS 7 BURITIZINHO SOBRADINHO II;0957755;QUADRA 05 AREA ESPECIAL A;73061345;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOBRADINHO II
